"Create an Account", "Регистрация"
"Sign In", "Вход"
"Sign Out", "Выход"
"My Account","Гараж"
"My Wish List", "Избранное"
"Compare Products", "Сравнение"
"Search entire store here...", "Поиск по названию, коду, категории товара"
"Home", "Главная"
"My Cart", "Корзина"
"Catalog", "Каталог товаров"
"Out of stock", "Нет в наличии"
"In stock", " В наличии"
"Notify me when this product is in stock", "Сообщить о поступлении"
"Features", "Характеристики"
"Email", "Поделиться"
"Add to Compare", "Сравнить"
"Related Products", "Похожие товары"
"Product ends", "Заканчивается"
"sku", "Код товара :"
"Details", "Описание"
"Characteristics", "Характеристики"
"More Information", "Характеристики товара"
"Viscosity grade", "Класс вязкости"
"cSt at 40ºC", "сСт при 40ºC"
"cSt at 100ºC", "сСт при 100ºC"
"Sulphated ash,% oil., ASTM D 874", "Зольность сульфатная, % мас., ASTM D 874"
"Phosphorus", "Содержание фосфора"
"Flash point, ºC, ASTM D 92", "Температура вспышки, ºC, ASTM D 92"
"Pour point , ºC, ASTM D 97", "Температура застывания, ºC, ASTM D 97"
"Product description", "Описание товара"
"Customer Reviews", "Отзывы"
"Rating", "Оценка"
"Advantages", "Достоинства"
"Disadvantages", "Недостатки"
"response", "ответ"
"Respond", "Ответить"
"Was this review helpful to you", "Был ли вам полезен этот отзыв"
"Was this review helpful to you", "Был ли вам полезен этот отзыв"
"Show all reviews", "Показать все отзывы"
"Collapse", "Свернуть"
"Show all specifications", "Показать все характеристики"


